dataset,f,policy,op,live,probe,recall,consolidated
synth,0.5,P0-none,55000,15218,0.993,0.9999,0
synth,0.5,P0-none,59000,15326,0.993,0.9998,0
synth,0.5,P0-none,63000,15314,0.9985,0.9998,0
synth,0.5,P0-none,67000,15256,0.9975,0.9997,0
synth,0.5,P0-none,71000,15148,0.997,0.9996,0
synth,0.5,P0-none,75000,15174,0.998,0.9995,0
synth,0.5,P1-fixed@10000,19000,14940,0.999,0.9998,1
synth,0.5,P1-fixed@10000,23000,14962,0.9985,0.9999,0
synth,0.5,P1-fixed@10000,27000,14998,0.999,0.9998,0
synth,0.5,P1-fixed@10000,31000,15042,0.999,0.9999,1
synth,0.5,P1-fixed@10000,35000,15106,0.999,0.9999,0
synth,0.5,P1-fixed@10000,39000,15200,0.999,0.9999,0
synth,0.5,P1-fixed@10000,43000,15178,0.999,1.0,1
synth,0.5,P1-fixed@10000,47000,15216,0.999,0.9997,0
synth,0.5,P1-fixed@10000,51000,15132,0.998,1.0,0
synth,0.5,P1-fixed@10000,55000,15218,0.998,1.0,1
synth,0.5,P1-fixed@10000,59000,15326,0.9985,0.9999,0
synth,0.5,P1-fixed@10000,63000,15314,0.999,0.9998,0
synth,0.5,P1-fixed@10000,67000,15256,0.999,0.9998,1
synth,0.5,P1-fixed@10000,71000,15148,0.999,0.9998,0
synth,0.5,P1-fixed@10000,75000,15174,0.999,0.9998,0
synth,0.5,P1-fixed@3000,19000,14940,0.999,0.9998,1
synth,0.5,P1-fixed@3000,23000,14962,0.9985,0.9999,1
synth,0.5,P1-fixed@3000,27000,14998,0.999,0.9998,1
synth,0.5,P1-fixed@3000,31000,15042,0.999,1.0,1
synth,0.5,P1-fixed@3000,35000,15106,0.999,0.9999,1
synth,0.5,P1-fixed@3000,39000,15200,0.999,0.9999,1
synth,0.5,P1-fixed@3000,43000,15178,0.999,1.0,1
synth,0.5,P1-fixed@3000,47000,15216,0.999,0.9998,1
synth,0.5,P1-fixed@3000,51000,15132,0.998,1.0,1
synth,0.5,P1-fixed@3000,55000,15218,0.998,1.0,1
synth,0.5,P1-fixed@3000,59000,15326,0.9985,0.9999,1
synth,0.5,P1-fixed@3000,63000,15314,0.999,0.9998,1
synth,0.5,P1-fixed@3000,67000,15256,0.999,0.9998,1
synth,0.5,P1-fixed@3000,71000,15148,0.999,0.9998,1
synth,0.5,P1-fixed@3000,75000,15174,0.999,0.9998,1
synth,0.5,P2-signal@0.030,19000,14940,0.999,0.9998,0
synth,0.5,P2-signal@0.030,23000,14962,0.9985,0.9999,0
synth,0.5,P2-signal@0.030,27000,14998,0.999,0.9998,0
synth,0.5,P2-signal@0.030,31000,15042,0.999,0.9999,0
synth,0.5,P2-signal@0.030,35000,15106,0.999,0.9998,0
synth,0.5,P2-signal@0.030,39000,15200,0.999,0.9998,0
synth,0.5,P2-signal@0.030,43000,15178,0.994,0.9999,0
synth,0.5,P2-signal@0.030,47000,15216,0.994,0.9997,0
