dataset,f,policy,n_consol,total_wall_s,total_cleared,avg_recall,min_recall,final_recall
sift,0.5,P0-none,0,0.0,0,0.9943,0.9136,0.9136
sift,0.5,P1-fixed@25000,4,6.5506,44000,0.9981,0.997,0.9979
sift,0.5,P1-fixed@10000,10,14.5339,42000,0.9982,0.9972,0.9981
sift,0.5,P1-fixed@5000,17,20.4933,48000,0.9985,0.9975,0.999
sift,0.5,P1-fixed@2500,25,25.5483,48000,0.9983,0.997,0.9985
sift,0.5,P2-signal@0.004,1,1.0569,37967,0.9973,0.9921,0.9965
sift,0.5,P2-signal@0.008,1,0.9037,44000,0.9967,0.991,0.9936
sift,0.5,P2-signal@0.015,1,0.7507,46000,0.9965,0.9842,0.994
sift,0.5,P2-signal@0.030,1,0.708,48000,0.9959,0.9661,0.9938
