dataset,f,policy,op,live,probe,recall,consolidated
sift,0.5,P1-fixed@10000,100000,20354,0.9865,0.986,0
sift,0.5,P1-fixed@10000,108000,20258,0.9845,0.9838,1
sift,0.5,P1-fixed@10000,116000,20230,0.9855,0.9871,0
sift,0.5,P1-fixed@10000,124000,20302,0.985,0.9844,1
sift,0.5,P1-fixed@10000,132000,20390,0.9835,0.987,0
sift,0.5,P1-fixed@10000,140000,20502,0.9845,0.983,1
sift,0.5,P1-fixed@10000,148000,20388,0.9825,0.9849,0
sift,0.5,P1-fixed@10000,156000,20306,0.9825,0.9855,1
sift,0.5,P1-fixed@10000,164000,20318,0.988,0.9867,0
sift,0.5,P1-fixed@10000,172000,20268,0.984,0.9843,1
sift,0.5,P1-fixed@10000,180000,20124,0.9795,0.9855,0
sift,0.5,P1-fixed@10000,188000,20110,0.9815,0.9831,1
sift,0.5,P1-fixed@10000,196000,20104,0.986,0.9858,0
sift,0.5,P1-fixed@10000,204000,20202,0.984,0.9821,1
sift,0.5,P1-fixed@10000,212000,20296,0.9845,0.985,0
sift,0.5,P1-fixed@10000,220000,20260,0.982,0.9809,1
sift,0.5,P1-fixed@5000,28000,20070,0.9955,0.9883,1
sift,0.5,P1-fixed@5000,36000,19984,0.9945,0.987,1
sift,0.5,P1-fixed@5000,44000,19984,0.9925,0.9881,1
sift,0.5,P1-fixed@5000,52000,20048,0.9915,0.9887,1
sift,0.5,P1-fixed@5000,60000,20218,0.989,0.9873,1
sift,0.5,P1-fixed@5000,68000,20238,0.9935,0.9875,1
sift,0.5,P1-fixed@5000,76000,20234,0.9905,0.9864,1
sift,0.5,P1-fixed@5000,84000,20160,0.989,0.9873,1
sift,0.5,P1-fixed@5000,92000,20282,0.988,0.9882,1
sift,0.5,P1-fixed@5000,100000,20354,0.986,0.986,1
sift,0.5,P1-fixed@5000,108000,20258,0.9915,0.987,1
sift,0.5,P1-fixed@5000,116000,20230,0.987,0.9872,1
sift,0.5,P1-fixed@5000,124000,20302,0.99,0.9876,1
sift,0.5,P1-fixed@5000,132000,20390,0.9865,0.989,1
sift,0.5,P1-fixed@5000,140000,20502,0.987,0.9869,1
sift,0.5,P1-fixed@5000,148000,20388,0.9835,0.9862,1
sift,0.5,P1-fixed@5000,156000,20306,0.98,0.9865,1
sift,0.5,P1-fixed@5000,164000,20318,0.9865,0.987,1
sift,0.5,P1-fixed@5000,172000,20268,0.9885,0.9877,1
sift,0.5,P1-fixed@5000,180000,20124,0.9865,0.9864,1
sift,0.5,P1-fixed@5000,188000,20110,0.987,0.9865,1
sift,0.5,P1-fixed@5000,196000,20104,0.9855,0.9889,1
sift,0.5,P1-fixed@5000,204000,20202,0.9855,0.9874,1
sift,0.5,P1-fixed@5000,212000,20296,0.99,0.9863,1
sift,0.5,P1-fixed@5000,220000,20260,0.9885,0.9848,1
sift,0.5,P2-signal@0.004,28000,20070,0.9955,0.9883,0
sift,0.5,P2-signal@0.004,36000,19984,0.992,0.9853,0
sift,0.5,P2-signal@0.004,44000,19984,0.9855,0.9847,1
sift,0.5,P2-signal@0.004,52000,20048,0.9915,0.9863,0
sift,0.5,P2-signal@0.004,60000,20218,0.9935,0.9833,0
sift,0.5,P2-signal@0.004,68000,20238,0.989,0.9819,0
sift,0.5,P2-signal@0.004,76000,20234,0.988,0.9777,0
sift,0.5,P2-signal@0.004,84000,20160,0.9835,0.9778,1
sift,0.5,P2-signal@0.004,92000,20282,0.9855,0.9845,0
sift,0.5,P2-signal@0.004,100000,20354,0.974,0.9827,1
sift,0.5,P2-signal@0.004,108000,20258,0.9865,0.9868,0
sift,0.5,P2-signal@0.004,116000,20230,0.9845,0.9852,1
sift,0.5,P2-signal@0.004,124000,20302,0.9895,0.9861,0
sift,0.5,P2-signal@0.004,132000,20390,0.983,0.9836,0
sift,0.5,P2-signal@0.004,140000,20502,0.9805,0.9809,1
sift,0.5,P2-signal@0.004,148000,20388,0.9865,0.9843,0
sift,0.5,P2-signal@0.004,156000,20306,0.984,0.9827,1
sift,0.5,P2-signal@0.004,164000,20318,0.9855,0.9865,0
sift,0.5,P2-signal@0.004,172000,20268,0.9835,0.9842,0
sift,0.5,P2-signal@0.004,180000,20124,0.9755,0.9809,1
sift,0.5,P2-signal@0.004,188000,20110,0.9815,0.9839,0
sift,0.5,P2-signal@0.004,196000,20104,0.983,0.9827,0
sift,0.5,P2-signal@0.004,204000,20202,0.9795,0.9809,0
sift,0.5,P2-signal@0.004,212000,20296,0.977,0.9794,1
