dataset,f,policy,n_consol,total_wall_s,total_cleared,avg_recall,min_recall,final_recall
sift,0.5,P0-none,0,0.0,0,0.9944,0.9215,0.9215
sift,0.5,P1-fixed@25000,4,6.5071,44000,0.9981,0.9969,0.9974
sift,0.5,P1-fixed@10000,10,14.2675,42000,0.9983,0.9974,0.9981
sift,0.5,P1-fixed@5000,17,20.162,48000,0.9984,0.9972,0.9989
sift,0.5,P1-fixed@2500,25,25.5988,48000,0.9985,0.9977,0.9987
sift,0.5,P2-signal@0.004,2,2.2811,50000,0.9976,0.9898,0.9898
sift,0.5,P2-signal@0.008,1,1.1,36233,0.9971,0.9946,0.9968
sift,0.5,P2-signal@0.015,1,0.8041,46000,0.9963,0.9871,0.9932
sift,0.5,P2-signal@0.030,1,0.6102,48000,0.9958,0.9688,0.9941
