dataset,f,policy,n_consol,total_wall_s,total_cleared,avg_recall,min_recall,final_recall
sift,0.3,P0-none,0,0.0,0,0.9654,0.9348,0.9348
sift,0.3,P1-fixed@50000,4,5.7248,76992,0.9792,0.9665,0.9665
sift,0.3,P1-fixed@20000,10,10.197,78816,0.982,0.9751,0.9779
sift,0.3,P1-fixed@10000,20,16.985,87801,0.9828,0.9772,0.9787
sift,0.3,P1-fixed@5000,34,24.8738,94988,0.9835,0.9786,0.9821
sift,0.3,P2-signal@0.004,6,7.9779,84216,0.9814,0.9751,0.9751
sift,0.3,P2-signal@0.008,3,4.0348,76001,0.978,0.9656,0.9768
sift,0.3,P2-signal@0.015,2,2.7772,63424,0.9771,0.9699,0.9703
sift,0.3,P2-signal@0.030,1,1.1036,51651,0.9739,0.9637,0.9637
