dataset,f,policy,n_consol,total_wall_s,total_cleared,avg_recall,min_recall,final_recall
sift,0.5,P0-none,0,0.0,0,0.9619,0.9354,0.9354
sift,0.5,P1-fixed@50000,4,2.6615,95021,0.976,0.9658,0.9658
sift,0.5,P1-fixed@20000,9,5.5959,95021,0.9806,0.9736,0.9736
sift,0.5,P1-fixed@10000,13,7.4942,95021,0.9827,0.9769,0.9769
sift,0.5,P1-fixed@5000,25,10.7575,95021,0.9837,0.9785,0.9785
sift,0.5,P2-signal@0.004,6,3.9414,95021,0.9794,0.9681,0.9759
sift,0.5,P2-signal@0.008,3,1.8993,68801,0.9778,0.9666,0.9666
sift,0.5,P2-signal@0.015,2,1.0783,76013,0.9756,0.965,0.9742
sift,0.5,P2-signal@0.030,1,0.4473,62948,0.9696,0.9504,0.9632
