dataset,f,policy,op,live,probe,recall,consolidated
sift,0.5,P0-none,12000,11766,0.9995,0.9992,0
sift,0.5,P0-none,14000,13578,0.999,0.9989,0
sift,0.5,P0-none,16000,15396,0.9985,0.9992,0
sift,0.5,P0-none,18000,17194,0.9995,0.9989,0
sift,0.5,P0-none,20000,18986,0.998,0.9988,0
sift,0.5,P0-none,22000,20806,0.9975,0.9987,0
sift,0.5,P0-none,24000,22622,0.999,0.999,0
sift,0.5,P0-none,26000,24450,0.999,0.9987,0
sift,0.5,P0-none,28000,26250,1.0,0.9985,0
sift,0.5,P0-none,30000,28012,0.9995,0.9984,0
sift,0.5,P0-none,32000,26380,0.9995,0.9985,0
sift,0.5,P0-none,34000,24742,0.999,0.9985,0
sift,0.5,P0-none,36000,23136,0.9995,0.9986,0
sift,0.5,P0-none,38000,21556,0.9995,0.9983,0
sift,0.5,P0-none,40000,19970,0.9995,0.9984,0
sift,0.5,P0-none,42000,18374,0.9995,0.9986,0
sift,0.5,P0-none,44000,16792,0.999,0.9984,0
sift,0.5,P0-none,46000,15202,0.999,0.9982,0
sift,0.5,P0-none,48000,13586,0.998,0.9979,0
sift,0.5,P0-none,50000,12054,0.9975,0.9975,0
sift,0.5,P0-none,52000,13862,0.998,0.9972,0
sift,0.5,P0-none,54000,15678,0.9985,0.9974,0
sift,0.5,P0-none,56000,17460,0.998,0.9978,0
sift,0.5,P0-none,58000,19254,0.9975,0.998,0
sift,0.5,P0-none,60000,21062,0.9985,0.9981,0
sift,0.5,P0-none,62000,22862,0.999,0.9977,0
sift,0.5,P0-none,64000,24646,0.998,0.9971,0
sift,0.5,P0-none,66000,26466,0.9975,0.9969,0
sift,0.5,P0-none,68000,28264,0.9975,0.9969,0
sift,0.5,P0-none,70000,30044,0.998,0.9969,0
sift,0.5,P0-none,72000,28454,0.998,0.9968,0
sift,0.5,P0-none,74000,26832,0.998,0.9961,0
sift,0.5,P0-none,76000,25240,0.9975,0.9957,0
sift,0.5,P0-none,78000,23648,0.9975,0.9947,0
sift,0.5,P0-none,80000,22006,0.998,0.9952,0
sift,0.5,P0-none,82000,20400,0.9985,0.995,0
sift,0.5,P0-none,84000,18818,0.9975,0.9952,0
sift,0.5,P0-none,86000,17202,0.9975,0.9943,0
sift,0.5,P0-none,88000,15662,0.996,0.9933,0
sift,0.5,P0-none,90000,14066,0.9955,0.9921,0
sift,0.5,P0-none,92000,15878,0.995,0.994,0
sift,0.5,P0-none,94000,17666,0.9955,0.9951,0
sift,0.5,P0-none,96000,19476,0.9945,0.9943,0
sift,0.5,P0-none,98000,21240,0.9955,0.9949,0
sift,0.5,P0-none,100000,20000,0.996,0.9942,0
sift,0.5,P0-none,102000,18000,0.995,0.9936,0
sift,0.5,P0-none,104000,16000,0.994,0.991,0
sift,0.5,P0-none,106000,14000,0.9935,0.9842,0
sift,0.5,P0-none,108000,12000,0.99,0.9661,0
sift,0.5,P0-none,110000,10000,0.986,0.9136,0
sift,0.5,P1-fixed@25000,12000,11766,0.9995,0.9992,0
sift,0.5,P1-fixed@25000,14000,13578,0.999,0.9989,0
