dataset,f,policy,n_consol,total_wall_s,total_cleared,avg_recall,min_recall,final_recall
sift,0.5,P0-none,0,0.0,0,0.995,0.9314,0.9314
sift,0.5,P1-fixed@25000,4,6.2185,44000,0.9981,0.9967,0.9975
sift,0.5,P1-fixed@10000,10,14.0101,42000,0.9984,0.9975,0.9976
sift,0.5,P1-fixed@5000,17,20.3749,48000,0.9986,0.9976,0.9988
sift,0.5,P1-fixed@2500,25,26.3732,48000,0.9986,0.9977,0.9987
sift,0.5,P2-signal@0.004,2,4.5318,32601,0.9978,0.9958,0.9958
sift,0.5,P2-signal@0.008,1,0.8683,44000,0.9968,0.9926,0.9926
sift,0.5,P2-signal@0.015,1,0.7455,46000,0.9967,0.9889,0.9928
sift,0.5,P2-signal@0.030,1,0.3444,48000,0.9962,0.9732,0.9924
