dataset,f,policy,n_consol,total_wall_s,total_cleared,avg_recall,min_recall,final_recall
sift,0.5,P0-none,0,0.0,0,0.9344,0.9113,0.9143
sift,0.5,P1-fixed@150000,4,13.419,229714,0.9467,0.9359,0.9451
sift,0.5,P1-fixed@60000,10,26.9129,261650,0.9548,0.9464,0.9546
sift,0.5,P1-fixed@30000,20,37.4853,267356,0.9565,0.9486,0.9569
sift,0.5,P1-fixed@15000,40,50.8202,268075,0.9566,0.9501,0.9562
sift,0.5,P2-signal@0.004,5,17.292,267356,0.9498,0.9386,0.9509
sift,0.5,P2-signal@0.008,4,13.8083,228173,0.9515,0.9427,0.9488
sift,0.5,P2-signal@0.015,2,6.8032,181060,0.9463,0.9318,0.941
sift,0.5,P2-signal@0.030,1,3.3767,115533,0.9422,0.9264,0.9314
