dataset,f,policy,n_consol,total_wall_s,total_cleared,avg_recall,min_recall,final_recall
sift,0.5,P0-none,0,0.0,0,0.9903,0.9731,0.9731
sift,0.5,P1-fixed@50000,4,14.5676,76992,0.9959,0.9929,0.9933
sift,0.5,P1-fixed@20000,10,24.484,78816,0.9969,0.9951,0.9967
sift,0.5,P1-fixed@10000,20,39.9778,87801,0.9973,0.9959,0.9974
sift,0.5,P1-fixed@5000,34,54.6173,94988,0.9975,0.9956,0.9976
sift,0.5,P2-signal@0.004,4,15.3886,78816,0.9956,0.9916,0.9919
sift,0.5,P2-signal@0.008,1,2.4932,38173,0.9943,0.9873,0.9873
sift,0.5,P2-signal@0.015,1,1.9429,74210,0.993,0.9818,0.9938
sift,0.5,P2-signal@0.030,0,0.0,0,0.9903,0.9746,0.9746
