dataset,f,policy,op,live,probe,recall,consolidated
sift,0.5,P1-fixed@10000,100000,23872,0.9825,0.983,0
sift,0.5,P1-fixed@10000,108000,31124,0.985,0.9834,1
sift,0.5,P1-fixed@10000,116000,28118,0.988,0.9837,0
sift,0.5,P1-fixed@10000,124000,28510,0.9865,0.982,1
sift,0.5,P1-fixed@10000,132000,32280,0.989,0.9853,0
sift,0.5,P1-fixed@10000,140000,26026,0.9825,0.9832,1
sift,0.5,P1-fixed@10000,148000,33170,0.9865,0.9845,0
sift,0.5,P1-fixed@10000,156000,30104,0.986,0.9821,1
sift,0.5,P1-fixed@10000,164000,30522,0.987,0.9828,0
sift,0.5,P1-fixed@10000,172000,34398,0.981,0.9805,1
sift,0.5,P1-fixed@10000,180000,27974,0.982,0.9787,0
sift,0.5,P1-fixed@10000,188000,35242,0.9805,0.9808,1
sift,0.5,P1-fixed@10000,196000,32142,0.983,0.9796,0
sift,0.5,P1-fixed@10000,204000,32512,0.9815,0.9792,1
sift,0.5,P1-fixed@10000,212000,36334,0.9835,0.98,0
sift,0.5,P1-fixed@10000,220000,29958,0.982,0.9769,1
sift,0.5,P1-fixed@5000,28000,27248,0.994,0.9881,1
sift,0.5,P1-fixed@5000,36000,24140,0.9915,0.9868,1
sift,0.5,P1-fixed@5000,44000,24554,0.99,0.9878,1
sift,0.5,P1-fixed@5000,52000,28248,0.9885,0.9849,1
sift,0.5,P1-fixed@5000,60000,21804,0.985,0.9804,1
sift,0.5,P1-fixed@5000,68000,29020,0.993,0.9856,1
sift,0.5,P1-fixed@5000,76000,26066,0.9905,0.9844,1
sift,0.5,P1-fixed@5000,84000,26526,0.9895,0.9871,1
sift,0.5,P1-fixed@5000,92000,30388,0.99,0.9857,1
sift,0.5,P1-fixed@5000,100000,23872,0.9865,0.9837,1
sift,0.5,P1-fixed@5000,108000,31124,0.988,0.9867,1
sift,0.5,P1-fixed@5000,116000,28118,0.9875,0.9852,1
sift,0.5,P1-fixed@5000,124000,28510,0.9815,0.9842,1
sift,0.5,P1-fixed@5000,132000,32280,0.985,0.9839,1
sift,0.5,P1-fixed@5000,140000,26026,0.986,0.9803,1
sift,0.5,P1-fixed@5000,148000,33170,0.9895,0.9863,1
sift,0.5,P1-fixed@5000,156000,30104,0.9855,0.9825,1
sift,0.5,P1-fixed@5000,164000,30522,0.988,0.9837,1
sift,0.5,P1-fixed@5000,172000,34398,0.9865,0.9808,1
sift,0.5,P1-fixed@5000,180000,27974,0.984,0.9794,1
sift,0.5,P1-fixed@5000,188000,35242,0.9905,0.9837,1
sift,0.5,P1-fixed@5000,196000,32142,0.988,0.9805,1
sift,0.5,P1-fixed@5000,204000,32512,0.9875,0.9805,1
sift,0.5,P1-fixed@5000,212000,36334,0.989,0.9818,1
sift,0.5,P1-fixed@5000,220000,29958,0.9885,0.9785,1
sift,0.5,P2-signal@0.004,28000,27248,0.994,0.9881,0
sift,0.5,P2-signal@0.004,36000,24140,0.9925,0.9869,0
sift,0.5,P2-signal@0.004,44000,24554,0.9885,0.984,1
sift,0.5,P2-signal@0.004,52000,28248,0.9855,0.9828,0
sift,0.5,P2-signal@0.004,60000,21804,0.9845,0.9795,1
sift,0.5,P2-signal@0.004,68000,29020,0.9925,0.9852,0
sift,0.5,P2-signal@0.004,76000,26066,0.991,0.9842,0
sift,0.5,P2-signal@0.004,84000,26526,0.9875,0.9828,0
sift,0.5,P2-signal@0.004,92000,30388,0.9865,0.9795,0
sift,0.5,P2-signal@0.004,100000,23872,0.984,0.9764,1
sift,0.5,P2-signal@0.004,108000,31124,0.986,0.9839,0
sift,0.5,P2-signal@0.004,116000,28118,0.984,0.983,0
sift,0.5,P2-signal@0.004,124000,28510,0.984,0.981,0
sift,0.5,P2-signal@0.004,132000,32280,0.981,0.9788,0
sift,0.5,P2-signal@0.004,140000,26026,0.9835,0.9747,0
sift,0.5,P2-signal@0.004,148000,33170,0.9815,0.9749,0
sift,0.5,P2-signal@0.004,156000,30104,0.982,0.9719,0
sift,0.5,P2-signal@0.004,164000,30522,0.9765,0.9681,1
sift,0.5,P2-signal@0.004,172000,34398,0.978,0.9765,0
sift,0.5,P2-signal@0.004,180000,27974,0.9775,0.9752,0
sift,0.5,P2-signal@0.004,188000,35242,0.9765,0.9776,0
sift,0.5,P2-signal@0.004,196000,32142,0.9725,0.9743,1
sift,0.5,P2-signal@0.004,204000,32512,0.9855,0.9799,0
sift,0.5,P2-signal@0.004,212000,36334,0.982,0.9795,0
sift,0.5,P2-signal@0.004,220000,29958,0.98,0.9759,1
sift,0.5,P2-signal@0.008,28000,27248,0.994,0.9881,0
sift,0.5,P2-signal@0.008,36000,24140,0.9925,0.9869,0
sift,0.5,P2-signal@0.008,44000,24554,0.9885,0.984,0
sift,0.5,P2-signal@0.008,52000,28248,0.988,0.9802,0
sift,0.5,P2-signal@0.008,60000,21804,0.9845,0.9769,1
sift,0.5,P2-signal@0.008,68000,29020,0.991,0.9859,0
sift,0.5,P2-signal@0.008,76000,26066,0.989,0.9843,0
sift,0.5,P2-signal@0.008,84000,26526,0.988,0.9817,0
sift,0.5,P2-signal@0.008,92000,30388,0.986,0.9804,0
sift,0.5,P2-signal@0.008,100000,23872,0.9815,0.9761,1
sift,0.5,P2-signal@0.008,108000,31124,0.9865,0.9864,0
sift,0.5,P2-signal@0.008,116000,28118,0.985,0.984,0
sift,0.5,P2-signal@0.008,124000,28510,0.981,0.9809,0
sift,0.5,P2-signal@0.008,132000,32280,0.982,0.9781,0
sift,0.5,P2-signal@0.008,140000,26026,0.984,0.9759,0
sift,0.5,P2-signal@0.008,148000,33170,0.9825,0.9753,0
sift,0.5,P2-signal@0.008,156000,30104,0.9835,0.9732,0
sift,0.5,P2-signal@0.008,164000,30522,0.979,0.9684,0
sift,0.5,P2-signal@0.008,172000,34398,0.972,0.9695,1
sift,0.5,P2-signal@0.008,180000,27974,0.974,0.9688,0
sift,0.5,P2-signal@0.008,188000,35242,0.978,0.9745,0
sift,0.5,P2-signal@0.008,196000,32142,0.9765,0.9745,0
sift,0.5,P2-signal@0.008,204000,32512,0.9695,0.9728,0
sift,0.5,P2-signal@0.008,212000,36334,0.972,0.9714,0
sift,0.5,P2-signal@0.008,220000,29958,0.9715,0.9666,0
sift,0.5,P2-signal@0.015,28000,27248,0.994,0.9881,0
sift,0.5,P2-signal@0.015,36000,24140,0.9925,0.9869,0
sift,0.5,P2-signal@0.015,44000,24554,0.9885,0.984,0
sift,0.5,P2-signal@0.015,52000,28248,0.988,0.9802,0
sift,0.5,P2-signal@0.015,60000,21804,0.9845,0.9769,0
sift,0.5,P2-signal@0.015,68000,29020,0.985,0.9746,0
sift,0.5,P2-signal@0.015,76000,26066,0.9835,0.9725,0
sift,0.5,P2-signal@0.015,84000,26526,0.981,0.9697,0
sift,0.5,P2-signal@0.015,92000,30388,0.9835,0.972,0
sift,0.5,P2-signal@0.015,100000,23872,0.9765,0.9654,1
sift,0.5,P2-signal@0.015,108000,31124,0.986,0.9833,0
sift,0.5,P2-signal@0.015,116000,28118,0.9825,0.981,0
sift,0.5,P2-signal@0.015,124000,28510,0.9815,0.9789,0
sift,0.5,P2-signal@0.015,132000,32280,0.984,0.976,0
sift,0.5,P2-signal@0.015,140000,26026,0.981,0.9734,0
sift,0.5,P2-signal@0.015,148000,33170,0.981,0.9729,0
sift,0.5,P2-signal@0.015,156000,30104,0.9845,0.9693,0
sift,0.5,P2-signal@0.015,164000,30522,0.977,0.966,0
sift,0.5,P2-signal@0.015,172000,34398,0.97,0.9673,0
sift,0.5,P2-signal@0.015,180000,27974,0.966,0.965,1
sift,0.5,P2-signal@0.015,188000,35242,0.9835,0.981,0
sift,0.5,P2-signal@0.015,196000,32142,0.9815,0.9784,0
sift,0.5,P2-signal@0.015,204000,32512,0.9845,0.9764,0
sift,0.5,P2-signal@0.015,212000,36334,0.9765,0.9778,0
sift,0.5,P2-signal@0.015,220000,29958,0.974,0.9742,0
sift,0.5,P2-signal@0.030,28000,27248,0.994,0.9881,0
sift,0.5,P2-signal@0.030,36000,24140,0.9925,0.9869,0
sift,0.5,P2-signal@0.030,44000,24554,0.9885,0.984,0
sift,0.5,P2-signal@0.030,52000,28248,0.988,0.9802,0
sift,0.5,P2-signal@0.030,60000,21804,0.9845,0.9769,0
sift,0.5,P2-signal@0.030,68000,29020,0.985,0.9746,0
sift,0.5,P2-signal@0.030,76000,26066,0.9835,0.9725,0
sift,0.5,P2-signal@0.030,84000,26526,0.981,0.9697,0
sift,0.5,P2-signal@0.030,92000,30388,0.9835,0.972,0
sift,0.5,P2-signal@0.030,100000,23872,0.9765,0.9654,0
sift,0.5,P2-signal@0.030,108000,31124,0.978,0.9662,0
sift,0.5,P2-signal@0.030,116000,28118,0.978,0.9633,0
sift,0.5,P2-signal@0.030,124000,28510,0.9735,0.9616,0
sift,0.5,P2-signal@0.030,132000,32280,0.9735,0.9612,0
sift,0.5,P2-signal@0.030,140000,26026,0.9665,0.955,0
sift,0.5,P2-signal@0.030,148000,33170,0.97,0.9566,0
sift,0.5,P2-signal@0.030,156000,30104,0.9605,0.9504,1
sift,0.5,P2-signal@0.030,164000,30522,0.9685,0.9668,0
sift,0.5,P2-signal@0.030,172000,34398,0.9685,0.9712,0
sift,0.5,P2-signal@0.030,180000,27974,0.9655,0.9683,0
sift,0.5,P2-signal@0.030,188000,35242,0.972,0.9735,0
sift,0.5,P2-signal@0.030,196000,32142,0.97,0.971,0
sift,0.5,P2-signal@0.030,204000,32512,0.973,0.9708,0
sift,0.5,P2-signal@0.030,212000,36334,0.975,0.9694,0
sift,0.5,P2-signal@0.030,220000,29958,0.9715,0.9632,0
