dataset,f,policy,op,live,probe,recall,consolidated
sift,0.5,P0-none,30000,20104,0.9995,0.9975,0
sift,0.5,P0-none,40000,19962,0.998,0.997,0
sift,0.5,P0-none,50000,19984,0.9965,0.9958,0
sift,0.5,P0-none,60000,20218,0.996,0.9947,0
sift,0.5,P0-none,70000,20292,0.995,0.9934,0
sift,0.5,P0-none,80000,20150,0.9965,0.9925,0
sift,0.5,P0-none,90000,20212,0.9975,0.9913,0
sift,0.5,P0-none,100000,20354,0.992,0.9889,0
sift,0.5,P0-none,110000,20258,0.99,0.9891,0
sift,0.5,P0-none,120000,20206,0.988,0.9854,0
sift,0.5,P0-none,130000,20414,0.9845,0.9827,0
sift,0.5,P0-none,140000,20502,0.9865,0.9818,0
sift,0.5,P0-none,150000,20382,0.985,0.9749,0
sift,0.5,P0-none,160000,20224,0.978,0.9724,0
sift,0.5,P0-none,170000,20298,0.9785,0.9707,0
sift,0.5,P0-none,180000,20124,0.9605,0.9696,0
sift,0.5,P0-none,190000,20134,0.9525,0.9697,0
sift,0.5,P0-none,200000,20160,0.9525,0.9702,0
sift,0.5,P0-none,210000,20228,0.9385,0.9642,0
sift,0.5,P0-none,220000,20260,0.926,0.9622,0
sift,0.5,P1-fixed@33333,30000,20104,0.9995,0.9975,0
sift,0.5,P1-fixed@33333,40000,19962,0.998,0.997,1
sift,0.5,P1-fixed@33333,50000,19984,0.999,0.9978,0
sift,0.5,P1-fixed@33333,60000,20218,0.9985,0.9972,0
sift,0.5,P1-fixed@33333,70000,20292,0.9955,0.9969,0
sift,0.5,P1-fixed@33333,80000,20150,0.997,0.9957,1
sift,0.5,P1-fixed@33333,90000,20212,0.9985,0.9976,0
sift,0.5,P1-fixed@33333,100000,20354,0.9945,0.9964,0
sift,0.5,P1-fixed@33333,110000,20258,0.995,0.9946,0
sift,0.5,P1-fixed@33333,120000,20206,0.993,0.9935,1
sift,0.5,P1-fixed@33333,130000,20414,0.998,0.997,0
sift,0.5,P1-fixed@33333,140000,20502,0.997,0.9965,0
sift,0.5,P1-fixed@33333,150000,20382,0.9955,0.9957,0
sift,0.5,P1-fixed@33333,160000,20224,0.994,0.9949,1
sift,0.5,P1-fixed@33333,170000,20298,0.995,0.9963,0
sift,0.5,P1-fixed@33333,180000,20124,0.995,0.9958,0
sift,0.5,P1-fixed@33333,190000,20134,0.9955,0.9942,0
sift,0.5,P1-fixed@33333,200000,20160,0.9965,0.9942,1
sift,0.5,P1-fixed@33333,210000,20228,0.9955,0.998,0
sift,0.5,P1-fixed@33333,220000,20260,0.995,0.9966,0
sift,0.5,P1-fixed@10000,30000,20104,0.9995,0.9975,1
sift,0.5,P1-fixed@10000,40000,19962,1.0,0.9982,1
sift,0.5,P1-fixed@10000,50000,19984,0.999,0.9976,1
sift,0.5,P1-fixed@10000,60000,20218,0.999,0.998,1
sift,0.5,P1-fixed@10000,70000,20292,0.9995,0.9979,1
sift,0.5,P1-fixed@10000,80000,20150,0.999,0.998,1
sift,0.5,P1-fixed@10000,90000,20212,0.999,0.9985,1
sift,0.5,P1-fixed@10000,100000,20354,0.997,0.9982,1
sift,0.5,P1-fixed@10000,110000,20258,0.9985,0.9983,1
sift,0.5,P1-fixed@10000,120000,20206,0.9995,0.9982,1
sift,0.5,P1-fixed@10000,130000,20414,0.9995,0.998,1
sift,0.5,P1-fixed@10000,140000,20502,0.9995,0.9973,1
sift,0.5,P1-fixed@10000,150000,20382,0.999,0.9977,1
sift,0.5,P1-fixed@10000,160000,20224,0.9965,0.9971,1
sift,0.5,P1-fixed@10000,170000,20298,0.9975,0.9968,1
sift,0.5,P1-fixed@10000,180000,20124,0.9985,0.9981,1
sift,0.5,P1-fixed@10000,190000,20134,0.9985,0.9973,1
sift,0.5,P1-fixed@10000,200000,20160,0.9975,0.9983,1
sift,0.5,P1-fixed@10000,210000,20228,0.998,0.9978,1
sift,0.5,P1-fixed@10000,220000,20260,0.9975,0.9976,1
sift,0.5,P2-signal@0.030,30000,20104,0.9995,0.9975,0
sift,0.5,P2-signal@0.030,40000,19962,0.998,0.997,0
sift,0.5,P2-signal@0.030,50000,19984,0.9965,0.9958,0
sift,0.5,P2-signal@0.030,60000,20218,0.996,0.9947,0
sift,0.5,P2-signal@0.030,70000,20292,0.995,0.9934,0
sift,0.5,P2-signal@0.030,80000,20150,0.9965,0.9925,0
sift,0.5,P2-signal@0.030,90000,20212,0.9975,0.9913,0
sift,0.5,P2-signal@0.030,100000,20354,0.992,0.9889,0
sift,0.5,P2-signal@0.030,110000,20258,0.99,0.9891,0
sift,0.5,P2-signal@0.030,120000,20206,0.988,0.9854,0
sift,0.5,P2-signal@0.030,130000,20414,0.9845,0.9827,0
sift,0.5,P2-signal@0.030,140000,20502,0.9865,0.9818,0
sift,0.5,P2-signal@0.030,150000,20382,0.985,0.9749,0
sift,0.5,P2-signal@0.030,160000,20224,0.978,0.9724,0
sift,0.5,P2-signal@0.030,170000,20298,0.9785,0.9643,0
sift,0.5,P2-signal@0.030,180000,20124,0.9605,0.9567,1
sift,0.5,P2-signal@0.030,190000,20134,0.9875,0.9886,0
sift,0.5,P2-signal@0.030,200000,20160,0.9905,0.991,0
sift,0.5,P2-signal@0.030,210000,20228,0.9915,0.9923,0
sift,0.5,P2-signal@0.030,220000,20260,0.9925,0.9925,0
sift,0.5,P2-signal@0.080,30000,20104,0.9995,0.9975,0
sift,0.5,P2-signal@0.080,40000,19962,0.998,0.997,0
sift,0.5,P2-signal@0.080,50000,19984,0.9965,0.9958,0
sift,0.5,P2-signal@0.080,60000,20218,0.996,0.9947,0
sift,0.5,P2-signal@0.080,70000,20292,0.995,0.9934,0
sift,0.5,P2-signal@0.080,80000,20150,0.9965,0.9925,0
sift,0.5,P2-signal@0.080,90000,20212,0.9975,0.9913,0
sift,0.5,P2-signal@0.080,100000,20354,0.992,0.9889,0
sift,0.5,P2-signal@0.080,110000,20258,0.99,0.9891,0
sift,0.5,P2-signal@0.080,120000,20206,0.988,0.9854,0
sift,0.5,P2-signal@0.080,130000,20414,0.9845,0.9827,0
sift,0.5,P2-signal@0.080,140000,20502,0.9865,0.9818,0
sift,0.5,P2-signal@0.080,150000,20382,0.985,0.9749,0
sift,0.5,P2-signal@0.080,160000,20224,0.978,0.9724,0
sift,0.5,P2-signal@0.080,170000,20298,0.9785,0.9643,0
sift,0.5,P2-signal@0.080,180000,20124,0.9605,0.9567,0
sift,0.5,P2-signal@0.080,190000,20134,0.9525,0.9491,0
sift,0.5,P2-signal@0.080,200000,20160,0.9525,0.9456,0
sift,0.5,P2-signal@0.080,210000,20228,0.9385,0.9325,0
sift,0.5,P2-signal@0.080,220000,20260,0.926,0.921,0
