dataset,f,policy,n_consol,total_wall_s,total_cleared,avg_recall,min_recall,final_recall
sift,0.5,P0-none,0,0.0,0,0.9626,0.9318,0.9318
sift,0.5,P1-fixed@50000,4,5.7268,76719,0.9784,0.968,0.968
sift,0.5,P1-fixed@20000,10,10.2042,78532,0.9806,0.9729,0.9729
sift,0.5,P1-fixed@10000,20,17.1549,87525,0.9823,0.9745,0.9783
sift,0.5,P1-fixed@5000,34,24.9039,94738,0.9826,0.9764,0.979
sift,0.5,P2-signal@0.004,7,7.8976,76176,0.9812,0.9738,0.9749
sift,0.5,P2-signal@0.008,3,3.4365,55023,0.9768,0.9647,0.9647
sift,0.5,P2-signal@0.015,2,2.4214,73956,0.9748,0.957,0.9706
sift,0.5,P2-signal@0.030,1,0.8238,56831,0.9725,0.9497,0.9659
