dataset,f,policy,n_consol,total_wall_s,total_cleared,avg_recall,min_recall,final_recall
sift,0.5,P0-none,0,0.0,0,0.9626,0.9339,0.9339
sift,0.5,P1-fixed@50000,4,5.5603,77168,0.9779,0.9653,0.9653
sift,0.5,P1-fixed@20000,10,9.6634,78974,0.9806,0.9738,0.9738
sift,0.5,P1-fixed@10000,20,17.1658,87965,0.9817,0.9761,0.9773
sift,0.5,P1-fixed@5000,34,24.0278,95166,0.9823,0.977,0.9797
sift,0.5,P2-signal@0.004,8,9.0003,72558,0.9804,0.973,0.9738
sift,0.5,P2-signal@0.008,4,5.865,84351,0.9765,0.9678,0.9678
sift,0.5,P2-signal@0.015,2,2.7968,44556,0.9755,0.958,0.958
sift,0.5,P2-signal@0.030,1,0.8363,57115,0.972,0.9507,0.963
