dataset,f,policy,n_consol,total_wall_s,total_cleared,avg_recall,min_recall,final_recall
sift,0.5,P0-none,0,0.0,0,0.9853,0.9666,0.9666
sift,0.5,P1-fixed@50000,4,9.8644,76992,0.9924,0.987,0.9875
sift,0.5,P1-fixed@20000,10,14.8697,78816,0.9939,0.9905,0.9932
sift,0.5,P1-fixed@10000,20,25.5719,87801,0.9943,0.9921,0.9943
sift,0.5,P1-fixed@5000,34,31.6159,94988,0.9946,0.992,0.9944
sift,0.5,P2-signal@0.004,3,6.2659,68789,0.992,0.9873,0.9901
sift,0.5,P2-signal@0.008,2,3.6752,70585,0.9916,0.986,0.9897
sift,0.5,P2-signal@0.015,1,1.5761,55199,0.9907,0.9841,0.9866
sift,0.5,P2-signal@0.030,0,0.0,0,0.9853,0.969,0.969
