dataset,f,policy,n_consol,total_wall_s,total_cleared,avg_recall,min_recall,final_recall
sift,0.5,P0-none,0,0.0,0,0.964,0.9321,0.9321
sift,0.5,P1-fixed@50000,4,5.6799,77057,0.9779,0.9636,0.9636
sift,0.5,P1-fixed@20000,10,10.1316,78838,0.9806,0.9729,0.9747
sift,0.5,P1-fixed@10000,20,16.6626,87847,0.982,0.9767,0.9773
sift,0.5,P1-fixed@5000,34,22.9522,95052,0.9825,0.9752,0.9787
sift,0.5,P2-signal@0.004,6,6.9745,76110,0.9792,0.9694,0.9731
sift,0.5,P2-signal@0.008,4,5.6218,91445,0.9792,0.9667,0.9765
sift,0.5,P2-signal@0.015,2,2.7145,49844,0.9748,0.9578,0.9578
sift,0.5,P2-signal@0.030,1,0.9509,55222,0.9732,0.9557,0.9616
