dataset,f,policy,n_consol,total_wall_s,total_cleared,avg_recall,min_recall,final_recall
sift,0.5,P0-none,0,0.0,0,0.9953,0.9255,0.9255
sift,0.5,P1-fixed@25000,4,6.4677,44000,0.9983,0.9969,0.9985
sift,0.5,P1-fixed@10000,10,13.6197,42000,0.9986,0.9978,0.9988
sift,0.5,P1-fixed@5000,17,19.9816,48000,0.9986,0.9976,0.9988
sift,0.5,P1-fixed@2500,25,25.4792,48000,0.9986,0.9975,0.9994
sift,0.5,P2-signal@0.004,1,0.9904,38008,0.9978,0.9928,0.9971
sift,0.5,P2-signal@0.008,1,0.7776,46000,0.9971,0.9885,0.9939
sift,0.5,P2-signal@0.015,1,0.4461,48000,0.9966,0.9721,0.9938
sift,0.5,P2-signal@0.030,1,0.3743,50000,0.9953,0.9255,0.9255
