dataset,f,policy,n_consol,total_wall_s,total_cleared,avg_recall,min_recall,final_recall
sift,0.5,P0-none,0,0.0,0,0.9546,0.9252,0.9252
sift,0.5,P1-fixed@50000,4,1.6496,99870,0.9785,0.9682,0.97
sift,0.5,P1-fixed@20000,9,4.1174,99870,0.9838,0.9795,0.9801
sift,0.5,P1-fixed@10000,13,6.03,99870,0.9852,0.9809,0.9809
sift,0.5,P1-fixed@5000,25,9.9354,99870,0.9872,0.9848,0.9848
sift,0.5,P2-signal@0.004,8,3.7555,95852,0.9833,0.9777,0.9826
sift,0.5,P2-signal@0.008,3,1.2186,71841,0.9779,0.9666,0.9699
sift,0.5,P2-signal@0.015,2,0.6338,79938,0.9738,0.9512,0.9731
sift,0.5,P2-signal@0.030,1,0.2835,51849,0.9694,0.9532,0.9532
